id,database,title,authors,year,journal_type,journal,citations,url,pdf
41,Google Scholar,History-based article quality assessment on Wikipedia,"S Zhang, Z Hu, C Zhang, K Yu",2018,unknown,"2018 IEEE international …, 2018",18,https://ieeexplore.ieee.org/abstract/document/8367090/,N/A
42,Google Scholar,A breakdown of quality flaws in Wikipedia,"M Anderka, B Stein",2012,Conference,"… 2nd joint WICOW/AIRWeb workshop on web quality, 2012",46,https://dl.acm.org/doi/abs/10.1145/2184305.2184309,http://www.cs.kent.edu/~javed/class-P2P13F/papers-2012/PAPER2012-wikipedia-qualityflaws-stein_2012d.pdf
43,Google Scholar,FlawFinder: A Modular System for Predicting Quality Flaws in Wikipedia.,"O Ferschke, I Gurevych…",2012,unknown,"CLEF (Online Working …, 2012",42,https://www.researchgate.net/profile/Oliver-Ferschke/publication/235982155_FlawFinder_A_Modular_System_for_Predicting_Quality_Flaws_in_Wikipedia/links/0a85e52ed1de340163000000/FlawFinder-A-Modular-System-for-Predicting-Quality-Flaws-in-Wikipedia.pdf,https://www.researchgate.net/profile/Oliver-Ferschke/publication/235982155_FlawFinder_A_Modular_System_for_Predicting_Quality_Flaws_in_Wikipedia/links/0a85e52ed1de340163000000/FlawFinder-A-Modular-System-for-Predicting-Quality-Flaws-in-Wikipedia.pdf
44,Google Scholar,Analyzing and predicting quality flaws in user-generated content: the case of Wikipedia,M Anderka,2013,unknown,2013,40,https://e-pub.uni-weimar.de/opus4/frontdoor/index/index/docId/1977,https://e-pub.uni-weimar.de/opus4/files/1977/diss-anderka-final_pdfa.pdf
45,Google Scholar,Wikipedia in academic studies: corrupting or improving the quality of teaching and learning?,"K Wannemacher, F Schulenburg",2010,unknown,"Looking toward the future of …, 2010",29,https://www.igi-global.com/chapter/wikipedia-academic-studies/40740,https://www.academia.edu/download/40449862/Looking_toward_the_future_of_technology-enhanced_education_ubiquitous_learning_and_the_digital_native.pdf#page=326
46,Google Scholar,Relative quality and popularity evaluation of multilingual Wikipedia articles,"W Lewoniewski, K Węcel, W Abramowicz",2017,unknown,"Informatics, 2017",36,https://www.mdpi.com/2227-9709/4/4/43,https://www.mdpi.com/2227-9709/4/4/43/pdf
47,Google Scholar,Wikipedia model for collective intelligence: a review of information quality,"S Lichtenstein, CM Parker",2009,Journal,"International Journal of …, 2009",24,https://www.inderscienceonline.com/doi/abs/10.1504/IJKL.2009.031199,https://www.researchgate.net/profile/Sharman-Lichtenstein/publication/220428468_Wikipedia_model_for_collective_intelligence_a_review_of_information_quality/links/54994c7f0cf2d6581ab00358/Wikipedia-model-for-collective-intelligence-a-review-of-information-quality.pdf
48,Google Scholar,A hybrid approach to classifying Wikipedia article quality flaws with feature fusion framework,"P Wang, M Li, X Li, H Zhou, J Hou",2021,unknown,"Expert Systems with Applications, 2021",6,https://www.sciencedirect.com/science/article/pii/S0957417421005303,N/A
49,Google Scholar,Requirements for the Linguistic Quality Control of Wikipedia Article,"S Albota, A Peleshchyshyn",2019,unknown,"2019 IEEE 14th International …, 2019",10,https://ieeexplore.ieee.org/abstract/document/8929771/,N/A
50,Google Scholar,The quality and readability of English Wikipedia anatomy articles,"A Suwannakhan, D Casanova‐Martínez…",2020,unknown,"Anatomical sciences …, 2020",19,https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ase.1910,N/A
