Title,CC,CW,CSN,CS,CMSL,CP,CMPL,CLSL,CSSL,CSTDSL,CLSSR,CB,CBPS,CNL,CNLTLR,CR,CCC,CCCPC,CCCPS,CEL,CELPS,CELPC,SSLS,SSSS,SMSS,SLSR,SSSR,SQ,SQPS,SE,SEPS,SS,SMSPW,SMCPW,SSTP,SSTART,SSTC,SSTSUB,SSTI,SSTD,SSTADJ,SSTN,SSTADV,SSTPPS,SSTARTPS,SSTCPS,SSTSUBPS,SSTDPS,SSTADJPS,SSTNPS,SSTADVPS,SMV,STB,SUW,SN,SUN,SV,SUV,SP,SUP,SADV,SUADV,SADJ,SUADJ,SCC,SUCC,SSUB,SUSUB,SMVPW,STBPW,SUWPW,SNPW,SUNPW,SVPW,SUVPW,SPPW,SUPPW,SADVPW,SUADVPW,SADJPW,SUADJPW,SCCPW,SUCCPW,SSUBPW,SUSUBPW,STBPV,SUNPUW,SUVPUW,SUPPUW,SUADJPUW,SUADVPUW,SUCCPUW,SUSUBPUW,SWL6,RARI,RCL,RFRE,RFK,RGFI,RLBI,RSG,RDWS,RDC,RLWF,Quality
"Roman Catholic Diocese of Paisley","3193","520","22","4","785.25","13","245.6153846153846","1258","412","360.7597307534938","3.0533980582524274","2","0.5","1258","0.3939868462261196","4","6","0.0018791105543376136","1.5","3","0.75","0.0009395552771688068","80","11","27.5","0.2222222222222222","0.6666666666666666","0","0.0","0","0.0","836","1.6888888888888889","4.965656565656565","0","8","0","4","0","8","0","1","0","0.0","0.4444444444444444","0.0","0.2222222222222222","0.4444444444444444","0.0","0.05555555555555555","0.0","0","12","242","45","31","40","24","6","5","4","4","19","13","11","2","78","16","0.0","0.024242424242424242","0.4888888888888889","0.09090909090909091","0.06262626262626263","0.08080808080808081","0.048484848484848485","0.012121212121212121","0.010101010101010102","0.00808080808080808","0.00808080808080808","0.03838383838383838","0.026262626262626262","0.022222222222222223","0.00404040404040404","0.15757575757575756","0.03232323232323232","0.3","0.128099173553719","0.09917355371900827","0.02066115702479339","0.05371900826446281","0.01652892561983471","0.008264462809917356","0.06611570247933884","149","15.708242424242421","12.321696969696966","36.04250000000002","15.063888888888894","19.484848484848484","57.601010101010104","16.92669308720184","302","10.99749494949495","19.583333333333332","1"
"10 Sullivan","2074","318","17","4","501.75","6","345.6666666666667","985","272","330.7802644253936","3.6213235294117645","0","0.0","305","0.14705882352941177","8","11","0.005303760848601736","2.75","0","0.0","0.0","40","5","19.4375","0.125","0.375","0","0.0","0","0.0","569","1.8295819935691318","5.315112540192926","0","7","0","1","0","9","2","0","0","0.0","0.4375","0.0","0.0625","0.5625","0.125","0.0","0.0","0","12","173","51","35","40","28","3","3","7","5","28","23","12","2","37","13","0.0","0.03858520900321544","0.5562700964630225","0.1639871382636656","0.11254019292604502","0.12861736334405144","0.09003215434083602","0.00964630225080386","0.00964630225080386","0.022508038585209004","0.01607717041800643","0.09003215434083602","0.07395498392282958","0.03858520900321544","0.006430868167202572","0.1189710610932476","0.04180064308681672","0.3","0.2023121387283237","0.16184971098265896","0.017341040462427744","0.1329479768786127","0.028901734104046242","0.011560693641618497","0.07514450867052024","108","13.322930064308686","13.930032154340832","32.32330084405149","13.57969252411576","17.29268488745981","54.16418810289389","15.414825405933506","157","8.935257556270097","14.34375","1"
"Yaron Svoray","3254","538","27","4","798.25","11","295.8181818181818","1321","343","404.50082406178933","3.8513119533527695","0","0.0","343","0.10540872771972956","0","0","0.0","0.0","0","0.0","0.0","49","6","21.44","0.16","0.36","0","0.0","0","0.0","899","1.6772388059701493","4.8414179104477615","4","4","0","4","0","7","0","0","1","0.16","0.16","0.0","0.16","0.28","0.0","0.0","0.04","0","17","291","73","59","78","59","23","9","9","8","38","30","21","2","86","20","0.0","0.03171641791044776","0.542910447761194","0.13619402985074627","0.11007462686567164","0.1455223880597015","0.11007462686567164","0.04291044776119403","0.016791044776119403","0.016791044776119403","0.014925373134328358","0.0708955223880597","0.055970149253731345","0.03917910447761194","0.0037313432835820895","0.16044776119402984","0.03731343283582089","0.21794871794871795","0.2027491408934708","0.2027491408934708","0.030927835051546393","0.10309278350515463","0.027491408934707903","0.006872852233676976","0.06872852233676977","130","12.093078358208956","11.28694029850746","43.178997014925415","12.563017910447766","15.96405970149254","45.69373134328359","14.49732154956526","259","8.693293402985075","14.68","1"
"Mark Curry (television presenter)","6631","1110","52","3","2199.3333333333335","21","315.76190476190476","6380","94","3620.594610465708","67.87234042553192","3","1.0","124","0.01870004524204494","5","6","0.0009048408988086261","2.0","0","0.0","0.0","42","7","21.54901960784314","0.13725490196078433","0.3137254901960784","0","0.0","0","0.0","1769","1.6096451319381255","4.794358507734304","18","2","0","11","0","3","1","1","0","0.35294117647058826","0.0392156862745098","0.0","0.21568627450980393","0.058823529411764705","0.0196078431372549","0.0196078431372549","0.0","1","25","546","148","91","121","76","41","9","17","11","55","44","40","2","163","28","0.0009099181073703367","0.022747952684258416","0.4968152866242038","0.13466787989080983","0.08280254777070063","0.11010009099181074","0.06915377616014559","0.0373066424021838","0.00818926296633303","0.015468607825295723","0.010009099181073703","0.05004549590536852","0.040036396724294813","0.036396724294813464","0.0018198362147406734","0.1483166515013649","0.025477707006369428","0.2066115702479339","0.16666666666666666","0.1391941391941392","0.016483516483516484","0.08058608058608059","0.020146520146520148","0.003663003663003663","0.05128205128205128","262","11.925938375350142","11.017215650591446","48.7867669360738","11.80793020392871","14.62506735178148","45.38887402094596","13.404572938879603","602","9.718130735606344","14.009803921568627","1"
"Elisabeth Scholl","4056","583","18","3","1341.3333333333333","6","676.0","2044","83","1092.224488524833","24.626506024096386","0","0.0","83","0.020463510848126233","10","10","0.002465483234714004","3.3333333333333335","1","0.3333333333333333","0.0002465483234714004","116","11","35.0","0.1875","0.625","0","0.0","0","0.0","1032","1.8428571428571427","5.8428571428571425","4","0","0","7","0","0","1","0","0","0.25","0.0","0.0","0.4375","0.0","0.0625","0.0","0.0","0","5","334","38","28","34","20","17","4","2","2","20","12","15","2","56","13","0.0","0.008928571428571428","0.5964285714285714","0.06785714285714285","0.05","0.060714285714285714","0.03571428571428571","0.030357142857142857","0.007142857142857143","0.0035714285714285713","0.0035714285714285713","0.03571428571428571","0.02142857142857143","0.026785714285714284","0.0035714285714285713","0.1","0.023214285714285715","0.14705882352941177","0.08383233532934131","0.059880239520958084","0.011976047904191617","0.03592814371257485","0.005988023952095809","0.005988023952095809","0.038922155688622756","221","23.58985714285714","17.710285714285714","15.40428571428572","19.805714285714284","24.214285714285715","74.46428571428572","20.20772737824677","430","13.860464285714288","26.4375","1"
"USS Buoyant (AM-153)","2012","332","21","2","1000.0","7","287.42857142857144","1664","336","939.0378054157351","4.9523809523809526","0","0.0","336","0.16699801192842942","0","0","0.0","0.0","1","0.5","0.0004970178926441351","34","2","18.38888888888889","0.05555555555555555","0.2777777777777778","0","0.0","0","0.0","544","1.6435045317220545","4.854984894259819","1","2","0","6","0","2","0","0","0","0.05555555555555555","0.1111111111111111","0.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0","8","190","31","26","39","27","12","3","3","3","9","9","14","1","45","15","0.0","0.02416918429003021","0.5740181268882175","0.09365558912386707","0.07854984894259819","0.11782477341389729","0.08157099697885196","0.03625377643504532","0.00906344410876133","0.00906344410876133","0.00906344410876133","0.027190332326283987","0.027190332326283987","0.04229607250755287","0.0030211480362537764","0.13595166163141995","0.045317220543806644","0.20512820512820512","0.1368421052631579","0.14210526315789473","0.015789473684210527","0.04736842105263158","0.015789473684210527","0.005263157894736842","0.07894736842105263","86","10.631423296408194","11.137643504531724","49.12979439409199","10.97502014098691","14.122927156764016","44.37076200067136","13.205437297517054","197","10.309762604900975","12.305555555555555","1"
"Mazur's lemma","666","119","3","2","319.0","8","83.25","358","280","55.154328932550705","1.2785714285714285","0","0.0","280","0.42042042042042044","0","0","0.0","0.0","0","0.0","0.0","66","13","38.333333333333336","0.3333333333333333","0.3333333333333333","0","0.0","0","0.0","181","1.5739130434782609","4.391304347826087","1","0","0","1","0","0","0","0","0","0.3333333333333333","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0","6","60","21","15","15","10","2","2","4","3","11","9","4","1","21","6","0.0","0.05217391304347826","0.5217391304347826","0.1826086956521739","0.13043478260869565","0.13043478260869565","0.08695652173913043","0.017391304347826087","0.017391304347826087","0.034782608695652174","0.02608695652173913","0.09565217391304348","0.0782608695652174","0.034782608695652174","0.008695652173913044","0.1826086956521739","0.05217391304347826","0.4","0.25","0.16666666666666666","0.03333333333333333","0.15","0.05","0.016666666666666666","0.1","24","18.419710144927542","9.248695652173915","34.77362318840582","17.93217391304348","21.594202898550726","59.20289855072464","17.122413403193683","53","9.178463768115943","25.166666666666668","1"
"Claudio Silva (computer scientist)","2887","418","24","2","1438.0","6","481.1666666666667","2272","604","1179.4541110191612","3.76158940397351","1","0.5","604","0.20921371666089367","11","15","0.005195704883962591","7.5","0","0.0","0.0","46","6","22.0","0.21052631578947367","0.3684210526315789","0","0.0","0","0.0","829","1.9832535885167464","5.722488038277512","9","1","0","2","0","1","0","3","1","0.47368421052631576","0.05263157894736842","0.0","0.10526315789473684","0.05263157894736842","0.0","0.15789473684210525","0.05263157894736842","0","5","234","57","42","36","24","17","4","4","4","21","18","23","2","57","12","0.0","0.011961722488038277","0.5598086124401914","0.13636363636363635","0.10047846889952153","0.0861244019138756","0.05741626794258373","0.04066985645933014","0.009569377990430622","0.009569377990430622","0.009569377990430622","0.050239234449760764","0.0430622009569378","0.05502392344497608","0.004784688995215311","0.13636363636363635","0.028708133971291867","0.1388888888888889","0.1794871794871795","0.10256410256410256","0.017094017094017096","0.07692307692307693","0.017094017094017096","0.008547008547008548","0.05128205128205128","160","16.522918660287083","16.502775119617223","16.721746411483252","16.392392344497612","20.95311004784689","60.27751196172249","17.898742924094783","262","10.98828133971292","17.68421052631579","1"
"Henry Kent McCay","1949","330","20","3","631.0","5","389.8","1204","280","500.40683448570127","4.3","0","0.0","280","0.14366341713699332","3","7","0.0035915854284248334","2.3333333333333335","0","0.0","0.0","46","1","19.0","0.11764705882352941","0.35294117647058826","0","0.0","0","0.0","522","1.6160990712074303","4.690402476780186","7","0","0","3","0","0","0","0","0","0.4117647058823529","0.0","0.0","0.17647058823529413","0.0","0.0","0.0","0.0","0","11","155","25","21","31","21","12","4","2","2","8","6","9","2","48","12","0.0","0.034055727554179564","0.47987616099071206","0.07739938080495357","0.06501547987616099","0.09597523219814241","0.06501547987616099","0.03715170278637771","0.01238390092879257","0.006191950464396285","0.006191950464396285","0.02476780185758514","0.018575851393188854","0.02786377708978328","0.006191950464396285","0.14860681114551083","0.03715170278637771","0.3548387096774194","0.13548387096774195","0.13548387096774195","0.025806451612903226","0.03870967741935484","0.012903225806451613","0.012903225806451613","0.07741935483870968","89","10.161795665634674","10.22167182662539","50.82801857585142","10.889969040247678","14.782662538699691","46.55417956656346","13.681092451943961","189","10.181749845201239","12.911764705882353","1"
"Fr. Pat Noise plaque","2538","430","25","1","2538.0","7","362.57142857142856","2538","2538","0","1.0","0","0.0","2538","1.0","13","17","0.006698187549251379","17.0","2","2.0","0.0007880220646178094","39","2","17.916666666666668","0.20833333333333334","0.3333333333333333","0","0.0","0","0.0","688","1.6","4.765116279069767","3","8","0","1","0","8","1","0","2","0.125","0.3333333333333333","0.0","0.041666666666666664","0.3333333333333333","0.041666666666666664","0.0","0.08333333333333333","3","18","247","60","42","63","40","13","7","11","10","20","19","9","2","51","14","0.0069767441860465115","0.04186046511627907","0.5744186046511628","0.13953488372093023","0.09767441860465116","0.14651162790697675","0.09302325581395349","0.030232558139534883","0.01627906976744186","0.02558139534883721","0.023255813953488372","0.046511627906976744","0.044186046511627906","0.020930232558139535","0.004651162790697674","0.1186046511627907","0.03255813953488372","0.2857142857142857","0.1700404858299595","0.16194331983805668","0.02834008097165992","0.07692307692307693","0.04048582995951417","0.008097165991902834","0.05668016194331984","97","9.972031007751937","10.566790697674413","53.289583333333354","10.277500000000003","13.213178294573645","40.47480620155039","12.530574950772351","233","9.444643410852715","11.666666666666666","1"
"Herman Mashaba","5151","813","44","4","1271.5","20","257.55","2295","598","724.5791882189275","3.8377926421404682","5","1.25","1176","0.22830518345952241","43","45","0.008736167734420501","11.25","2","0.5","0.00038827412152980003","43","6","19.121951219512194","0.14634146341463414","0.34146341463414637","0","0.0","0","0.0","1397","1.781887755102041","5.168367346938775","16","3","0","11","0","3","0","0","1","0.3902439024390244","0.07317073170731707","0.0","0.2682926829268293","0.07317073170731707","0.0","0.0","0.024390243902439025","5","19","390","116","91","116","82","51","10","14","13","58","45","16","2","123","30","0.006377551020408163","0.02423469387755102","0.49744897959183676","0.14795918367346939","0.11607142857142858","0.14795918367346939","0.10459183673469388","0.06505102040816327","0.012755102040816327","0.017857142857142856","0.016581632653061226","0.07397959183673469","0.05739795918367347","0.02040816326530612","0.002551020408163265","0.1568877551020408","0.03826530612244898","0.16379310344827586","0.23333333333333334","0.21025641025641026","0.02564102564102564","0.11538461538461539","0.03333333333333333","0.005128205128205128","0.07692307692307693","249","12.473985813837729","13.042040816326526","36.67851543056247","12.89383648581384","16.934494773519162","50.88215530114485","15.165280761232907","397","8.94415031110005","14.0","1"
"New Israel Fund","14460","2227","91","7","2050.4285714285716","43","336.27906976744185","5866","319","1843.3436880790712","18.38871473354232","12","1.7142857142857142","777","0.0537344398340249","67","84","0.005809128630705394","12.0","0","0.0","0.0","70","2","26.46987951807229","0.18072289156626506","0.37349397590361444","0","0.0","0","0.0","3895","1.7728720983158852","5.227127901684114","10","23","0","19","0","23","3","1","2","0.12048192771084337","0.27710843373493976","0.0","0.2289156626506024","0.27710843373493976","0.03614457831325301","0.012048192771084338","0.024096385542168676","16","45","903","271","180","296","186","59","13","55","30","159","102","63","3","330","31","0.007282658170232135","0.020482476103777878","0.4110150204824761","0.12335002275830678","0.08192990441511151","0.1347291761492945","0.08466090122894857","0.026854802002730997","0.005917159763313609","0.025034137460172964","0.013654984069185253","0.07237141556668183","0.04642694583522986","0.02867546654528903","0.0013654984069185253","0.15020482476103778","0.014110150204824761","0.15202702702702703","0.19933554817275748","0.2059800664451827","0.014396456256921373","0.11295681063122924","0.03322259136212625","0.0033222591362126247","0.03433001107419712","663","16.424712175968324","13.817259899863448","29.983092771632727","15.653143772175643","19.254315029805156","56.6473943109717","16.80983296493398","1210","10.00926469501127","18.96987951807229","1"
